WGSN-ID,Name,HIP,RA2000,DE2000,Vmag,type,HR,HD,Bayer/other,constellation,distance from Sun/ ly,B-V color,VmagMax,VmagMin,WDS
10115,Bosona,HIP 107251,315.7235834,-7.408252861,8.346,K0 III,,206610,,Aquarius,554.6943487,1.032,,,
10116,Itonda,HIP 108375,315.9555132,-37.76362372,7.471,G2 V,,208487,,Grus,143.5088565,0.552,,,
10117,Solaris,HIP 104780,318.399959,14.68938494,G9.36,K5,,,BD +14 4559,Pegasus,,,,,
10118,Lionrock,HIP 110813,330.4508534,-17.26365667,7.595,G8 IV,,212771,,Aquarius,397.2586064,0.885,,,
10119,Taika,,335.512865,45.457366,11.34,,,_,HAT-P-40,Lacerta,,0.85,,,_
10120,Zembra,,339.026329,-16.99994114,12.469,,,,HATS-72,Aquarius,,1.103,,,
10121,Batsũ̀,,340.4921549,-69.16897798,15.26,,,,LHS 3844,Indus,,2.04,,,
10122,Ebla,HIP 114322,345.1529797,-2.260745194,8.63,K3 V,,218566,,Pisces,97.65124548,1.01,,,
10123,Poerava,HIP 116084,345.5223162,-58.20973156,7.807,F7 V,,221287,,Tucana,172.471553,0.505,,,
10124,Axólotl,HIP 118319,345.9982866,-22.42811564,8.216,G2 IV,,224693,,Cetus,306.8154062,0.656,,,
10125,Tangra,,347.492723,18.396078,11.55,G3V,,_,WASP-21,Pegasus,,0.57,,,_
10126,Márohu,,348.157237,-22.673966,11.91,G8V,,_,WASP-6,Aquarius,,0.99,,,_
10127,Anadolu,,348.494823,8.76127,12,K2V,,_,WASP-52,Pegasus,,0.9,,,_
10128,Danfeng,HIP 115211,350.0313521,-60.06517907,11.02,M2V,,,L 168-9,Tucana,,1.43,,,
10129,Sterrennacht,,354.774209,42.465973,10.47,F8V,,_,HAT-P-6,Andromeda,,0.41,,,_
10130,Morava,,356.666561,31.155937,12.18,G1V,,_,WASP-60,Pegasus,,0.68,,,_
10131,Uúba,HIP 117883,358.6675305,-37.62792345,9.76,G7V,,,LTT 9779,Sculptor,,0.79,,,
