key	old	new	resolves
gaia:16370186245017600	4 Tau	s Tau	yes
gaia:1637308298502075904	27 Dra	f Dra	yes
gaia:1640708022815757824	HIP 76196 B	TW Dra B	no
gaia:1649549642491581312	15 Dra	A Dra	yes
gaia:1666204391793959808	HIP 66263 B	NSV 19887 B	no
gaia:1671148277108755200	10 Dra	i Dra	yes
gaia:168726179613835136	Zet Per D	ζ Per D	yes
gaia:168726179613835520	Zet Per E	ζ Per E	yes
gaia:168726523211215360	Zet Per B	ζ Per B	yes
gaia:168726591930691968	Zet Per C	ζ Per C	yes
gaia:1701943978599634816	HIP 74045 B	NSV 20265 B	no
gaia:170654035812544640	HIP 19201 B	AG Per B	no
gaia:170654035816903680	AG Per	AG Per A	yes
gaia:1708946939955140352	18 UMi	π² UMi	no
gaia:1720995598827435648	HIP 75809	π¹ UMi A	yes
gaia:1720995598827436928	HIP 75829	π¹ UMi B	yes
gaia:1721165301575269760	HIP 77002 B	NSV 07275 B	no
gaia:1727367612307674368	HIP 74034 A		no
gaia:1727367715386985728	HIP 74034 C		no
gaia:1730265134683763712	HIP 104048	38 G. Aqr	yes
gaia:1733281541754737024	3 Equ	ζ Equ	yes
gaia:1739002232035063552	HIP 106103	3 G. Peg	yes
gaia:1739509072535934464	NSV 13727	2 G. Peg	yes
gaia:174489098011144960	HIP 22275 B	AW Per B	no
gaia:1754191229260708736	Kap Del C	κ Del C	yes
gaia:1754191435419155456	Kap Del A	κ Del	yes
gaia:1754983736623672320	HIP 102390 B	NSV 25315 B	no
gaia:1755224009981286272	HIP 102206 B	NSV 13244 B	no
gaia:176204228775021696	HIP 20573	V590 Per B	yes
gaia:1762987489783462784	HIP 102490 B	OR Del B	no
gaia:1763000413344449792	Gam-2 Del A	γ² Del	no
gaia:1763000482062205056	Gam-2 Del B	γ¹ Del	no
gaia:1801210503990080896	Mu-1 Cyg B	μ² Cyg B	no
gaia:1801210568415251072	μ¹ Cyg	μ² Cyg	no
gaia:1801211053747997568	HIP 107326	μ² Cyg Da	yes
gaia:1804059815365900288	HIP 100506 D	HD 193967 D	no
gaia:1809456596391861248	HIP 99316 B	NSV 25021 B	no
gaia:1824681293384501632	Zet Sge C	ζ Sge C	yes
gaia:18262823713408000	HIP 12447	285 G. Cet	yes
