tyc	hip	hd	gl	gaia_source_id	reason
4189-578-1		145475		1629190707234763904	refused_no_defensible_parallax
424-1384-1		162627		4473026881928156160	refused_no_defensible_parallax
4250-1425-1		198180		2197018403478229120	refused_no_defensible_parallax
4279-2747-1	114929				refused_no_defensible_parallax
4288-785-1		220907		2209077331620174336	refused_no_defensible_parallax
434-384-1		165110		4469450415421218816	refused_no_defensible_parallax
4532-1383-1	26878				refused_no_defensible_parallax
4578-934-1		169507		2294326488202643968	refused_no_defensible_parallax
469-5324-1		183060		4288801479638205696	refused_no_defensible_parallax
4757-481-1		294057		3211017606048663296	refused_no_defensible_parallax
4759-725-1		293919		3211819223041094400	refused_no_defensible_parallax
4771-393-1	27074	38272		3216195932153903104	refused_no_defensible_parallax
4787-1212-1		291335		3121025950867500032	refused_no_defensible_parallax
4801-560-1		292732		3112334105295148032	refused_no_defensible_parallax
4814-2327-1		293221		3109672771757791744	refused_no_defensible_parallax
4850-921-1	39337				no_parallax_published
4954-193-1		108947		3680708121368678656	refused_no_defensible_parallax
4967-465-1		119934		3658492007892429568	refused_no_defensible_parallax
5019-723-1	77756			4410199073829458944	refused_no_defensible_parallax
5034-1308-1		146193		4405554977233796224	refused_no_defensible_parallax
5114-346-1		174588		4266092613177007104	refused_no_defensible_parallax
5114-989-1		174130		4266106219627348480	refused_no_defensible_parallax
5149-1971-1		185610		4210802017355965952	refused_no_defensible_parallax
5174-739-1		193519		4216368745946822272	refused_no_defensible_parallax
5190-389-1		198072		6913050480558823552	refused_no_defensible_parallax
5245-452-1		217375		2636701004497700352	refused_no_defensible_parallax
5348-706-1	28319				refused_no_defensible_parallax
5367-1134-1	30089	44179		3001477146793228288	refused_no_defensible_parallax
537-363-1	105996	204390		2698920928700374144	refused_no_defensible_parallax
5780-244-1		201926		6895050100822940416	refused_no_defensible_parallax
5806-251-1		211101		2615530286061984384	refused_no_defensible_parallax
591-1410-1		221559		2756562928865610752	refused_no_defensible_parallax
5945-1715-1	29732	43517		2937793020994949248	refused_no_defensible_parallax
5976-1571-1	34117	53269		2929318092743373184	refused_no_defensible_parallax
60-1312-1	15711			3269187509233902208	refused_no_defensible_parallax
6092-670-1	56515	100707		3541908453536988928	no_parallax_published
6106-851-1		109404		3516870237310861312	refused_no_defensible_parallax
6108-421-1		107368		3514844318417307008	refused_no_defensible_parallax
6149-488-1		122580		6289407176046875904	refused_no_defensible_parallax
6156-678-1		126919		6284680616077492864	refused_no_defensible_parallax
6158-475-1		129343		6284961575657976704	refused_no_defensible_parallax
6185-442-1		139818		6262044283005302912	refused_no_defensible_parallax
6231-275-1		153705		4127871735103893504	refused_no_defensible_parallax
6242-476-1		157733		4122488251325174144	refused_no_defensible_parallax
6251-371-1		165704		4144142617415812736	refused_no_defensible_parallax
6259-2107-1	88762	312644			refused_no_defensible_parallax
6262-261-1		163159		4070197643001378688	refused_no_defensible_parallax
6270-1220-1		170330		4096655500556640640	refused_no_defensible_parallax
6295-279-1		177661		4081973000153916544	refused_no_defensible_parallax
6343-1660-1		197256		6855603265750858496	refused_no_defensible_parallax
6395-728-1		218899		2407019588165306240	refused_no_defensible_parallax
6542-2538-1	36532	59841		5615234818264147072	refused_no_defensible_parallax
6572-936-1	43428	75690		5653934432090860544	refused_no_defensible_parallax
6681-742-1		107455		3512912957523503744	refused_no_defensible_parallax
6749-742-1		127965		6223802237796007424	refused_no_defensible_parallax
6760-518-1		133074		6211979773380432640	refused_no_defensible_parallax
