gaia_source_id	label	field	spine	overlay	applied	disposition
5756766016559683200	HIP 43822 / HD 76369	hd	76369	76370	76370	overlay-wins
5793367311243059456	HIP 73871 / HD 132656	hd	132656	132656|132657	132657	extra-alias
5800150374599578496	HIP 73152	hd		131356	131356	added
5823565986543322240	HIP 74724 / HD 134897	hd	134897	134897|134898	134898	extra-alias
5829823479027898496	HIP 79637 / HD 145527	hd	145527	145527|145528	145528	extra-alias
5834232658151593472	HIP 77160 / HD 140178	hd	140178	140178|140179	140179	extra-sibling-rendered
5836281598082648320	HIP 79133 / HD 144534	hd	144534	144534|144535	144535	extra-alias
5853890929569423616	HIP 68964 / HD 122938	hd	122938	122938|122939	122939	extra-alias
5856060059837366912	HIP 60278 / HD 107463	hd	107463	107463|107464	107464	extra-alias
5856166884258428672	HIP 58848 / HD 104811	hd	104811	104811|104812	104812	extra-alias
5865679480878606464	HIP 66379 / HD 118137	hd	118137	118137|118138	118138	extra-alias
5867472303363500672	HIP 67783	hd		120767	120767	added
5873984023533350400	HIP 72773 / HD 130701	hd	130701	130701|130702	130702	extra-sibling-rendered
5876786747391373696	HIP 75323 / HD 136415	hd	136415	136415|136416	136416	extra-sibling-rendered
5878286859176627840	HIP 72482 / HD 130205	hd	130205	130205|130206	130206	extra-sibling-rendered
5881881918654215040	HIP 76753 / HD 139298	hd	139298	139298|139299	139299	extra-alias
588551501854159744	Subra / HIP 47508 / HD 83808	hd	83808	83808|83809	83809	extra-sibling-rendered
5892312298245855616	HIP 70179 / HD 125481	hd	125481	125481|125482	125482	extra-alias
5895511842720346880	HIP 69007 / HD 123146	hd	123146	123146|123147	123147	extra-alias
589720969909458176	HIP 46634	hd		82159		suppressed-collision
5917694897793466880	HIP 83390	hd		153432		suppressed-collision
5933586075026511744	HIP 80412 / HD 147438	hd	147438	147438|147439	147439	extra-alias
5949258135737290752	HIP 85820 / HD 158479	hd	158479	158479|158480	158480	extra-alias
5953089899407021696	HIP 84452	hd		329666	329666	added
5966457899193959936	HD 152437	hd	152437	152437|326338	326338	extra-alias
5971199405688252928	HD 151002	hd	151002	151002|321952	321952	extra-alias
5972810563833563648	HIP 85020 / HD 157038	hd	157038	157038|157039	157039	extra-alias
5975889887888213248	HIP 85676 / HD 158394	hd	158394	158394|158395	158395	extra-alias
5982257881315719808	HIP 77239 / HD 140523	hd	140523	140523|140524	140524	extra-alias
5989656117080416768	HIP 77321	hd		327352	327352	added
602321510603179264	HIP 42795 / HD 74228	hd	74228	74228|74229	74229	extra-alias
6026583902378507392	HIP 83404	hd		153764	153764	added
6033403623218517248	HIP 83195	hd		153350	153350	added
6035265023316246016	HD 144368	hd	144368	144368|144369	144369	extra-alias
6038073970589665280	HIP 80399 / HD 147722	hd	147722	147723	147723	overlay-wins
6055152993954533632	HIP 62359	hd		311863	311863	added
6056385168555011840	HIP 62571 / HD 111331	hd	111331	111331|111332	111332	extra-alias
6058017496664039168	HIP 60546 / HD 107979	hd	107979	107979|107980	107980	extra-alias
6077903779308400256	HIP 61063	hd		108899	108899	added
6106909750736210048	HIP 67017	hd		119405	119405	added
