hd	hip	verdict	note
10360	7751	no-identity-event	the withheld HIP addition to the HD 10361 component is the collision guard's p Eridani case
22091	16664	no-identity-event
24554	18255	no-identity-event
30020	21986	no-identity-event
32964	23794	no-identity-event
48250	32438	no-identity-event
71150	41404	no-identity-event
75737	43496	no-identity-event
82383	46657	no-identity-event
100286	56280	no-identity-event
100600	56473	no-identity-event
104827	58858	no-identity-event
119425	66936	no-identity-event
138690	76297	no-identity-event
139891	76669	no-identity-event
149730	81589	no-identity-event
164668	88267	no-identity-event
173607	91926	no-identity-event
182572	95447	no-identity-event
187259	97473	no-identity-event
195593	101214	no-identity-event
