gaia_source_id	hip	v_mag	v_via	g_mag	reason	designations
5255482890040398336		11.294	tycho2	12.565	mag	HD 90188
52581364754755584		8.857	tycho2	11.537	mag	HD 26802
528650348891859584		7.294	tycho2	8.502	mag	HD 1658
5300714225747721344		9.520	gliese	12.793	mag	GJ 3551B
5303235818218054656		8.916	tycho2	10.383	mag	HD 78230
5306276174038980992		9.939	tycho2	11.094	mag	HD 84372
5308077277137124736		10.053	tycho2	11.183	mag	HD 300356
5308435855376673920		9.231	tycho2	11.110	mag	HD 84979
5311809844247945088		10.912	tycho2	11.969	mag	HD 299831
5325466878172755200		9.918	tycho2	10.953	mag	HD 77141
5326745919426983552		9.099	tycho2	10.548	mag	HD 78401
5330869255534073472		9.058	tycho2	10.112	mag	HD 77812
5332995887161122048		10.582	tycho2	11.730	mag	HD 309241
5333055741830248192		11.486	tycho2	12.675	mag	HD 309129
5334356223548475904		8.611	tycho2	20.364	mag	HD 99279
5335028123904504448		11.192	tycho2	12.231	mag	HD 307006
5352548880348471424		10.795	tycho2	11.847	mag	HD 301164
5410781902372078976		8.366	tycho2	12.443	mag	HD 83638
5527795675013142400		9.338	tycho2	10.632	mag	HD 72385
5528383192183392768		7.286	tycho2	8.473	mag	HD 73882
5529560872217319680		8.005	tycho2	13.275	mag	HD 72956
5535394159359170816		7.305	tycho2	8.439	mag	HD 62560
5550862879207742976		9.620	gliese	11.170	mag	GJ 240B
5568872398635858816		10.590	gliese	11.598	mag	GJ 237B
5599976276913604352		10.074	tycho2	11.313	mag	HD 61449
5602303462013180160		9.520	tycho2	10.955	mag	HD 63722
5608358609970426240		9.900	tycho2	11.245	mag	HD 50713
5608701142200122240		9.789	tycho2	10.794	mag	HD 51578
5644733851937331328		9.718	tycho2	10.780	mag	HD 71400
5657632295851604224		9.642	tycho2	10.790	mag	HD 85321
5712107633825223424		10.016	tycho2	11.653	mag	HD 62678
5717302791899181568		11.105	tycho2	12.328	mag	HD 61867
5717839903321766528		9.839	tycho2	10.984	mag	HD 63959
5726962620016796800		9.516	tycho2	10.938	mag	HD 70096
5727883598448791808		9.510	tycho2	19.531	mag	HD 67813
5735724078422129664		9.214	tycho2	10.672	mag	HD 76759
576949798755602688		11.820	gliese	15.862	mag	GJ 3527B
5802739209057680128		6.931	tycho2	8.324	mag	HD 152339
5817579661117922688		11.725	tycho2	13.116	mag	HD 151895
5854386019031828736		9.919	tycho2	10.980	mag	HD 125987
5858680127325592960		9.025	tycho2	10.472	mag	HD 114590
5865493766512332928		9.717	tycho2	10.849	mag	HD 119442
5868555837687992704		10.030	tycho2	11.453	mag	HD 115474
5888373985008272256		9.868	tycho2	10.962	mag	HD 134978
5888764483429677056		9.987	tycho2	11.279	mag	HD 136898
5942012251017996928		6.128	tycho2	7.197	mag	HD 147970
5946269869283263360		9.535	tycho2	17.697	mag	HD 158930
5953391921490842240		9.877	tycho2	16.886	mag	HD 157129
5963317693976270720		10.688	tycho2	11.717	mag	HD 329243
5965858734096316928		11.408	tycho2	12.632	mag	HD 327099
5970511077007491840		10.947	tycho2	12.872	mag	HD 322344
5974163826448670720		10.069	tycho2	11.631	mag	HD 157643
5984093447258174208		10.086	tycho2	11.115	mag	HD 144352
5984852694382630656		9.459	tycho2	11.556	mag	HD 143263
5998592947588636544		7.857	tycho2	20.614	mag	HD 143846
6066526170447168512		10.454	tycho2	11.933	mag	HD 115012
6075866521711780352		9.244	tycho2	10.734	mag	HD 105384
6087662838348417152		8.831	tycho2	13.455	mag	HD 117720
6089044993195125120		10.199	tycho2	11.895	mag	HD 123259
6089414768395636352		9.376	tycho2	10.453	mag	HD 122496
6127031608094036864		9.362	tycho2	10.794	mag	HD 107439
6135388583662170240		10.243	tycho2	13.301	mag	HD 111355
6137911962845784320		9.307	tycho2	10.337	mag	HD 115818
6143652650497716992		8.829	tycho2	13.238	mag	HD 107626
6176833918555679488		9.590	gliese	11.334	mag	GJ 1181B
6216302915658525440		10.339	tycho2	12.304	mag	HD 128177
6235558525364466176		9.228	tycho2	21.956	mag	HD 142288
6316024565847877248		9.274	tycho2	13.479	mag	HD 136232
6333200208784059648		8.944	tycho2	11.639	mag	HD 131605
6403170379999185408		10.620	gliese	12.622	mag	GJ 4206B
6412596012146801152		4.690	gliese	18.031	mag	GJ 845B
6452035562953261568		9.154	tycho2	10.216	mag	HD 204193
6478417485468750720		10.401	tycho2	11.454	mag	HD 199461
6628926642897199744		5.200	gliese	12.796	mag	GJ 863.2B
6652128159310424448		8.261	tycho2	10.375	mag	HD 164133
6668255246110077184		9.052	tycho2	10.306	mag	HD 194418
6706718808560393472		9.907	tycho2	11.600	mag	HD 166837
6729358818129449216		10.230	tycho2	15.825	mag	HD 173539
6735622632789070976		10.631	tycho2	13.013	mag	HD 173283
6781117812599082752		9.400	gliese	13.314	mag	GJ 9714B
6801811892745605632		9.419	tycho2	10.905	mag	HD 199368
6810708865957729792		9.504	tycho2	12.999	mag	HD 205961
6860450668924085120		9.807	tycho2	10.830	mag	HD 192998
6865988049995997696		9.960	tycho2	11.111	mag	HD 190667
746545859566712832		5.350	gliese	14.124	mag	GJ 376B
830239138485572224		8.860	gliese	13.161	mag	GJ 397B
892348454394856064		1.940	gliese	8.296	mag	GJ 278CD
4706564427272810752	169	9.240	hip	10.076	sibling	GJ 1294B
423075173674854528	518	5.980	hip	7.076	mag	GJ 4.1B
2547140632751586816	1512	10.270	hip	19.555	mag	
