tyc	hip	hd	gl	gaia_source_id	reason
			GJ 10899		no_v_magnitude
			GJ 10902		no_v_magnitude
			GJ 10911	3369132776897491712	no_v_magnitude
			GJ 10916		no_v_magnitude
			GJ 10918B	3003146828214395904	no_v_magnitude
			GJ 10929		no_v_magnitude
			GJ 10934		no_v_magnitude
			GJ 10935B	3327170877694724096	no_v_magnitude
			GJ 10937		no_v_magnitude
			GJ 10939		no_v_magnitude
			GJ 10945B	5260451999698559872	no_v_magnitude
			GJ 10952		no_v_magnitude
			GJ 10956B	5484571124146626432	no_v_magnitude
			GJ 10966		no_v_magnitude
			GJ 10974		no_v_magnitude
			GJ 10986		no_v_magnitude
			GJ 10987		no_v_magnitude
			GJ 10988		no_v_magnitude
			GJ 10989B		no_v_magnitude
			GJ 10992		no_v_magnitude
			GJ 10994		no_v_magnitude
			GJ 11004		no_v_magnitude
			GJ 11006		no_v_magnitude
			GJ 11010		no_v_magnitude
			GJ 11028		no_v_magnitude
			GJ 11048		no_v_magnitude
			GJ 11053		no_v_magnitude
			GJ 11055		no_v_magnitude
			GJ 11056	898275195732381440	no_v_magnitude
			GJ 11068		no_v_magnitude
			GJ 11074	3136033356873855488	no_v_magnitude
			GJ 11075		no_v_magnitude
			GJ 11078		no_v_magnitude
			GJ 11085		no_v_magnitude
			GJ 11087		no_v_magnitude
			GJ 11101		no_v_magnitude
			GJ 11113		no_v_magnitude
			GJ 11114		no_v_magnitude
			GJ 11115		no_v_magnitude
			GJ 11118		no_v_magnitude
			GJ 11120		no_v_magnitude
			GJ 11122		no_v_magnitude
			GJ 11128		no_v_magnitude
			GJ 11129B		no_v_magnitude
			GJ 11138		no_v_magnitude
			GJ 11143		no_v_magnitude
			GJ 11144		no_v_magnitude
			GJ 11147B		no_v_magnitude
			GJ 11152		no_v_magnitude
			GJ 11154B	5534742080239454976	no_v_magnitude
			GJ 11164	5595785866305529216	no_v_magnitude
			GJ 11171		no_v_magnitude
			GJ 11174		no_v_magnitude
			GJ 11175B		no_v_magnitude
			GJ 11182		no_v_magnitude
			GJ 11184	5725122965265271680	no_v_magnitude
			GJ 11188		no_v_magnitude
			GJ 11191		no_v_magnitude
			GJ 11210		no_v_magnitude
			GJ 11211		no_v_magnitude
			GJ 11213		no_v_magnitude
			GJ 11215		no_v_magnitude
			GJ 11222		no_v_magnitude
			GJ 11225		no_v_magnitude
			GJ 11234		no_v_magnitude
			GJ 11237		no_v_magnitude
			GJ 11244		no_v_magnitude
			GJ 11247B	5223423952772029440	no_v_magnitude
			GJ 11250	5753687109122994048	no_v_magnitude
			GJ 11251		no_v_magnitude
			GJ 11265		no_v_magnitude
			GJ 11281		no_v_magnitude
			GJ 11286		no_v_magnitude
			GJ 11294		no_v_magnitude
			GJ 11297		no_v_magnitude
			GJ 11301		no_v_magnitude
			GJ 11303		no_v_magnitude
			GJ 11311		no_v_magnitude
			GJ 11325		no_v_magnitude
			GJ 11328		no_v_magnitude
			GJ 11332		no_v_magnitude
			GJ 11345		no_v_magnitude
			GJ 11370		no_v_magnitude
			GJ 11372		no_v_magnitude
			GJ 11388		no_v_magnitude
			GJ 11394		no_v_magnitude
			GJ 11395		no_v_magnitude
			GJ 11399	1022050415123922176	no_v_magnitude
			GJ 11401		no_v_magnitude
			GJ 11413		no_v_magnitude
			GJ 11414	3853943806185777664	no_v_magnitude
			GJ 11415B		no_v_magnitude
			GJ 11419		no_v_magnitude
			GJ 11422		no_v_magnitude
			GJ 11424		no_v_magnitude
			GJ 11447B	3836586468952863488	no_v_magnitude
			GJ 11451		no_v_magnitude
			GJ 11452		no_v_magnitude
			GJ 11458		no_v_magnitude
			GJ 11463		no_v_magnitude
			GJ 11471		no_v_magnitude
			GJ 11475		no_v_magnitude
			GJ 11479	1078021436789455872	no_v_magnitude
			GJ 11490		no_v_magnitude
			GJ 11491		no_v_magnitude
			GJ 11494		no_v_magnitude
			GJ 11496		no_v_magnitude
			GJ 11500	5229173470875537664	no_v_magnitude
			GJ 11519		no_v_magnitude
			GJ 11524		no_v_magnitude
			GJ 11525		no_v_magnitude
			GJ 11526B	5443030200460964480	no_v_magnitude
			GJ 11532		no_v_magnitude
			GJ 11534		no_v_magnitude
			GJ 11535		no_v_magnitude
			GJ 11536		no_v_magnitude
			GJ 11546		no_v_magnitude
			GJ 11547	5393446658454453632	no_v_magnitude
			GJ 11548	3808159454810609280	no_v_magnitude
			GJ 11551AB		no_v_magnitude
			GJ 11552		no_v_magnitude
			GJ 11554		no_v_magnitude
			GJ 11556		no_v_magnitude
			GJ 11564		no_v_magnitude
			GJ 11572		no_v_magnitude
			GJ 11582B		no_v_magnitude
			GJ 11592		no_v_magnitude
			GJ 11595		no_v_magnitude
			GJ 11600		no_v_magnitude
			GJ 11623B		no_v_magnitude
			GJ 11627B	764072693389251456	no_v_magnitude
			GJ 11630		no_v_magnitude
			GJ 11644		no_v_magnitude
			GJ 11656		no_v_magnitude
			GJ 11659		no_v_magnitude
			GJ 11660	3911082878569883264	no_v_magnitude
			GJ 11662	3540491079971287552	no_v_magnitude
			GJ 11663		no_v_magnitude
			GJ 11667		no_v_magnitude
			GJ 11686		no_v_magnitude
			GJ 11687		no_v_magnitude
			GJ 11693		no_v_magnitude
			GJ 11699		no_v_magnitude
			GJ 11702		no_v_magnitude
			GJ 11706		no_v_magnitude
			GJ 11708	5368479017141170304	no_v_magnitude
			GJ 11715		no_v_magnitude
			GJ 11720B	6148648281576023552	no_v_magnitude
			GJ 11730		no_v_magnitude
			GJ 11731		no_v_magnitude
			GJ 11737		no_v_magnitude
			GJ 11740B	3489338019474046720	no_v_magnitude
			GJ 11746		no_v_magnitude
			GJ 11756B	3489874340630661248	no_v_magnitude
			GJ 11759		no_v_magnitude
			GJ 11763		no_v_magnitude
			GJ 11764		no_v_magnitude
			GJ 11765		no_v_magnitude
			GJ 11768		no_v_magnitude
			GJ 11770B	3699797155055781760	no_v_magnitude
			GJ 11771		no_v_magnitude
			GJ 11778		no_v_magnitude
			GJ 11788		no_v_magnitude
			GJ 11789		no_v_magnitude
			GJ 11793B	3693536398408130944	no_v_magnitude
			GJ 11794		no_v_magnitude
			GJ 11801		no_v_magnitude
			GJ 11802	5856405272135505024	no_v_magnitude
			GJ 11803		no_v_magnitude
			GJ 11808	6128439395302574720	refused_no_defensible_parallax
			GJ 11819		no_v_magnitude
			GJ 11822		no_v_magnitude
			GJ 11825AB		no_v_magnitude
			GJ 11830B	3934198156329808896	no_v_magnitude
			GJ 11833		no_v_magnitude
			GJ 11836		no_v_magnitude
			GJ 11855		no_v_magnitude
			GJ 11856		no_v_magnitude
			GJ 11865		no_v_magnitude
			GJ 11867		no_v_magnitude
			GJ 11869C		no_v_magnitude
			GJ 11871B		no_v_magnitude
			GJ 11873		no_v_magnitude
			GJ 11876		no_v_magnitude
			GJ 11884B		no_v_magnitude
			GJ 11885		no_v_magnitude
			GJ 11886		no_v_magnitude
			GJ 11900		no_v_magnitude
			GJ 11906B		no_v_magnitude
			GJ 11908		no_v_magnitude
			GJ 11915		no_v_magnitude
			GJ 11918		no_v_magnitude
			GJ 11925		no_v_magnitude
