tyc	hip	hd	gl	gaia_source_id	cell	value	reason
5778-1803-1	103640	199828		6888684821851122048	flam	8	flamsteed_unattested
5782-1504-1	103728	200004		6888373969298444672	flam	9	flamsteed_unattested
5796-1289-1	107527	207061		6844193324351118336	flam	50	flamsteed_unattested
5806-1618-1	109720	210845		2613075218331521920	flam	40	flamsteed_unattested
5807-1695-1	110786	212741		2602805504850273408	flam	54	flamsteed_unattested
5815-1322-1	111843	214572		2608109136625709440	flam	64	flamsteed_unattested
5815-833-1	112161	215097		2608070207042148992	flam	65	flamsteed_unattested
5816-777-1	113085	216567		2603998715484828160	flam	75	flamsteed_unattested
5820-107-1	114006	218081		2607493444474169728	flam	84	flamsteed_unattested
5820-155-1	114164	218331		2631323984616613376	flam	87	flamsteed_unattested
5820-461-1	114054	218173		2607299758628916352	flam	85	flamsteed_unattested
601-680-1	1340	1243		2768131612255928192	flam	37	flamsteed_unattested
6066-315-1	51614	91369		3747921438973001088	flam	43	flamsteed_unattested
612-572-1	4832	6077		2577716195692862336	flam	70	flamsteed_unattested
6293-2060-1	92602	174596		4078810942164503552	flam	31	flamsteed_unattested
6354-402-1	104429	201301		6832471637046122880	flam	26	flamsteed_unattested
6369-1186-1	106568	205306		6830171561799887872	flam	38	flamsteed_unattested
6750-1747-1	71652	128756		6229904733488327424	flam	3	flamsteed_unattested
6809-555-1	82007	150937		6047978474412802176	flam	15	flamsteed_unattested
6810-733-1	82758	152534		4125469164752997504	flam	22	flamsteed_unattested
6815-1770-1	83508	154021		4112215960860030592	flam	28	flamsteed_unattested
6815-3192-1	83566	154132		4112220049668077952	flam	31	flamsteed_unattested
6826-235-1	85703	158527		4110619195139312000	flam	50	flamsteed_unattested
6842-1845-1	88142	164031		4069016973608165888	flam	5	flamsteed_unattested
6843-378-1	89276	166767		4066429066901946368	flam	12	flamsteed_unattested
6843-543-1	88943	165921		4066278846098710016	flam	11	flamsteed_unattested
6857-1414-1	90713	170457		4077814441070234112	flam	23	flamsteed_unattested
6960-1865-1	108571	208851		6619460878574794880	flam	11	flamsteed_unattested
6967-1376-1	112362	215452		6623203203838628864	flam	20	flamsteed_unattested
831-1103-1	48298	85259		613187739206026752	flam	21	flamsteed_unattested
8342-6346-1	86092	159217		5949068676156098944	flam	1	flamsteed_unattested
946-1598-1	79608	146169		4450604030202914048	flam	12	flamsteed_unattested
954-1367-1	79704	146452		4454013134724660480	flam	15	flamsteed_unattested
